"title","url","maker","type","year","km","price"
"Mercedes C200 AMG kit under warrnty GCC 360 C...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/12/8/mercedes-c200-amg-kit-under-warrnty-gcc-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-8","Mercedes-Benz","C-Class","2016","112,000","105000"
"VERIFIED CAR! MERCEDES BENZ C200 COUPE 2017 -...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/12/13/verified-car-mercedes-benz-c200-coupe-2017-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-7","Mercedes-Benz","C-Class","2017","40,800","139000"
"BEAUTIFUL MERCEDES C200 !! FRESH JAPAN IMPORT...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/3/beautiful-mercedes-c200-fresh-japan-import-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-6","Mercedes-Benz","C-Class","2002","90,000","16500"
"BEAUTIFUL MERCEDES BENZ C CLASS C43  !! FRESH...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/5/beautiful-mercedes-benz-c-class-c43-fresh--2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-5","Mercedes-Benz","C-Class","1999","150,000","32500"
"BEAUTIFUL MERCEDES BENZ C CLASS C250 !! FRESH...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/7/beautiful-mercedes-benz-c-class-c250-fresh-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-4","Mercedes-Benz","C-Class","2008","46,000","32500"
"Mercedes-Benz C 300 Coupe AMG, 2.0 I-4 GCC wi...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/23/mercedes-benz-c-300-coupe-amg-20-i-4-gcc-w-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-3","Mercedes-Benz","C-Class","2017","44,000","174999"
"2018 Mercedes-Benz C 250 AMG 2.0L V4-Turbo GC...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/4/5/2018-mercedes-benz-c-43-amg-4matic-v6-bitu-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-2","Mercedes-Benz","C-Class","2018","0","172999"
"2017 C300 ( 2018 face lift ) panoramic roof ,...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/12/2017-c300-2018-face-lift-panoramic-roof-no-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAw&pos=-1","Mercedes-Benz","C-Class","2017","26,000","99000"
"selling for leaving country","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/27/selling-for-leaving-country-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAx&pos=1","Mercedes-Benz","C-Class","2009","113,000","26000"
"Mercedes C200 GCC under warranty and service ...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/11/24/ms-tatiana-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAx&pos=2","Mercedes-Benz","C-Class","2016","38,000","115000"
"Merc C200 Cabriolet AMG full option 2017 unde...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/14/merc-c200-cabriolet-amg-full-option-2017-u-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAx&pos=3","Mercedes-Benz","C-Class","2017","69,000","189000"
