"title","url","maker","type","year","km","price" 
"Rio 2017 - 567 X 60 Months* - Warranty - Low ...","https://dubai.dubizzle.com/motors/used-cars/kia/rio/2018/10/14/kia-rio-2017-552-x-60-months-warranty-low--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=212","Kia","Rio","2017","21,568","36000"
"City 2016 - 599 x 60 Months* - Warranty – Low...","https://dubai.dubizzle.com/motors/used-cars/honda/city/2019/1/19/city-2016-599-x-60-months-warranty-low-dp--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=213","Honda","City","2016","67,156","38000"
"Lancer EX 2016 - 465 x 60 Months* - Warranty ...","https://dubai.dubizzle.com/motors/used-cars/mitsubishi/lancer/2019/1/3/lancer-ex-2016-465-x-60-months-warranty-lo-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=214","Mitsubishi","Lancer","2016","52,382","29500"
"Range Rover Vogue Supercharged - white wrappe...","https://dubai.dubizzle.com/motors/used-cars/land-rover/range-rover/2019/1/10/range-rover-vogue-supercharged-white-wrapp-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=215","Land Rover","Range Rover","2010","130,000","49000"
"Toyota Yaris 2016 for Sale","https://dubai.dubizzle.com/motors/used-cars/toyota/yaris/2019/1/21/toyota-yaris-2016-for-sale-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=216","Toyota","Yaris","2016","71,906","37000"
"دبي ، عجمان ، الشارقة","https://dubai.dubizzle.com/motors/used-cars/nissan/tiida/2019/1/27/%D8%AF%D8%A8%D9%8A-%D8%B9%D8%AC%D9%85%D8%A7%D9%86-%D8%A7%D9%84%D8%B4%D8%A7%D8%B1%D9%82%D8%A9-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=217","Nissan","Tiida","2014","118,729","14999"
"Suzuki swift 2014 -GCC - well maintained","https://dubai.dubizzle.com/motors/used-cars/suzuki/swift/2019/1/2/suzuki-swift-2014-gcc-well-maintained-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=218","Suzuki","Swift","2014","112,000","21000"
"Volkswagen Jetta 2013 model GCC Spec","https://dubai.dubizzle.com/motors/used-cars/volkswagen/jetta/2018/12/13/volkswagen-jetta-2013-model-gcc-spec-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=219","Volkswagen","Jetta","2013","118,000","21000"
"AUDI R 8 2009 GCC SPECS REDUCED","https://dubai.dubizzle.com/motors/used-cars/audi/r8/2018/11/12/audi-r-8-2009-gcc-specs-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=220","Audi","R8","2009","74,000","112000"
"Range Rover VELAR 2018 R-Dynamic P380  final ...","https://dubai.dubizzle.com/motors/used-cars/land-rover/range-rover/2018/7/10/range-rover-velar-2018-r-dynamic-p380-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=221","Land Rover","Range Rover","2018","14,000","280000"
"LEXUS LX 570 2014 MODEL FULL OPTION","https://dubai.dubizzle.com/motors/used-cars/lexus/lx-series/2019/1/13/lexus-lx-570-2014-model-full-option-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=222","Lexus","LX-Series","2014","85,000","165000"
"MERCEDES G55","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/g-class/2018/11/17/mercedes-g55-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=223","Mercedes-Benz","G-Class","2012","148,000","140000"
"FORD RAPTOR F-150","https://dubai.dubizzle.com/motors/used-cars/ford/other/2018/12/16/ford-raptor-f-150-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=224","Ford","Other","2012","101,000","115000"
"Audi Exclusive RS5. Will consider any reasona...","https://dubai.dubizzle.com/motors/used-cars/audi/s5rs5/2019/1/26/audi-exclusive-rs5-will-consider-any-reaso-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=225","Audi","S5/RS5","2011","84,920","91000"
"GCC.CAMARO.2013(( ZL 1 ))SUPERCHARGED warrant...","https://dubai.dubizzle.com/motors/used-cars/chevrolet/camaro/2018/9/22/gcccamaro2013-zl-1-supercharged-warranty-t-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=226","Chevrolet","Camaro","2013","140,000","68000"
"Mini Cooper 2015 GCC specs Lady Driven with S...","https://dubai.dubizzle.com/motors/used-cars/mini/cooper/2018/12/13/mini-cooper-coupe-2015-gcc-specs-original--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=227","MINI","Cooper","2015","79,000","51000"
"BENTLEY BENTAYGA 2017 ( Two Tone ) SPOILER CA...","https://dubai.dubizzle.com/motors/used-cars/bentley/bentayga/2018/9/27/bentley-bentayga-2017-two-tone-spoiler-car-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=228","Bentley","Bentayga","2017","30,000","780000"
"Bentley Bentayga 2017","https://dubai.dubizzle.com/motors/used-cars/bentley/bentayga/2018/11/22/bentley-bentayga-2017-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=229","Bentley","Bentayga","2017","35,000","739000"
"Mercedes-Benz Vito 114 CDI 2017 Brand New / L...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/viano/2018/7/21/mercedes-benz-vito-114-cdi-2017-brand-new--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=230","Mercedes-Benz","Viano","2017","100","490000"
"Nissan Patrol Super Safari 2019 // Brand New ...","https://dubai.dubizzle.com/motors/used-cars/nissan/patrol/2018/10/22/nissan-patrol-super-safari-2019-available--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=231","Nissan","Patrol","2019","101","155000"
"JEEP - WEANGLER - 2010 - FULL SERVICE HISTORY...","https://dubai.dubizzle.com/motors/used-cars/jeep/wrangler/2019/1/8/jeep-weangler-2010-full-service-history-gc-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=232","Jeep","Wrangler","2010","214,000","39000"
"Mercedes C200 Full option with panorama","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/12/31/mercedes-c200-full-option-with-panorama-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDk%3D&pos=233","Mercedes-Benz","C-Class","2013","57,000","55000"
"Maserati Ghibli 2015 Al Tayer/ full service h...","https://dubai.dubizzle.com/motors/used-cars/maserati/ghibli/2018/12/13/maserati-ghibli-2015-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=235","Maserati","Ghibli","2015","45,000","117000"
"2011 RANGE ROVER HSE 5.0L V8 GCC WITH FULL SE...","https://dubai.dubizzle.com/motors/used-cars/land-rover/hse-v8/2019/1/17/2011-range-rover-hse-50l-v8-gcc-with-full--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=236","Land Rover","HSE V8","2011","130,000","59000"
"BMW 3 SERIES 330i M Sport Exclusive (REF NO. ...","https://dubai.dubizzle.com/motors/used-cars/bmw/3-series/2019/1/24/bmw-3-series-330i-m-sport-exclusive-ref-no-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=237","BMW","3-Series","2018","7,450","140000"
"MERCEDES BENZ C180 2006,COUPE HATCH BACK,ACCI...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/27/mercedes-benz-c180-2006-coupe-hatch-back-a-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=238","Mercedes-Benz","C-Class","2006","136,000","11000"
"chevrolet Cruze full option","https://dubai.dubizzle.com/motors/used-cars/chevrolet/cruze/2019/1/16/chevrolet-cruze-full-option-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=239","Chevrolet","Cruze","2015","90,000","30000"
"BMW X6 SERIES 35i Exclusive(REF NO. 13688)","https://dubai.dubizzle.com/motors/used-cars/bmw/x6/2019/1/13/bmw-x6-series-35i-exclusive-ref-no-13688--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=240","BMW","X6","2019","290","294000"
"BMW 7 SERIES 730Li Exclusive High (REF NO.134...","https://dubai.dubizzle.com/motors/used-cars/bmw/7-series/2019/1/2/bmw-7-series-730li-exclusive-high-ref-no13-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=241","BMW","7-Series","2019","1,490","284000"
"BMW 4 SERIES 420i Convertible M Sport(REF NO....","https://dubai.dubizzle.com/motors/used-cars/bmw/4-series/2019/1/6/bmw-4-series-420i-convertible-m-sport-ref--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=242","BMW","4-Series","2018","11,570","194000"
"VERY LOW MILEAGE, GCC, FORD EXPLORER 4X4","https://dubai.dubizzle.com/motors/used-cars/ford/explorer/2018/11/8/very-low-mileage-explorer-2014-xlt-gcc-ful-2-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=243","Ford","Explorer","2010","67,000","29500"
"BMW 5 SERIES 530i Luxury(REF NO. 13628)","https://dubai.dubizzle.com/motors/used-cars/bmw/5-series/2019/1/3/bmw-5-series-530i-luxury-ref-no-13628--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=244","BMW","5-Series","2017","27,024","205000"
"Mercedes GL450 AMG Full option 7 seats","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/gl-class/2019/1/9/mercedes-gl450-amg-full-option-7-seats-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=245","Mercedes-Benz","GL-Class","2011","137,000","49000"
"VERIFIED CAR! JEEP GRAND CHEROKEE OVERLAND 20...","https://dubai.dubizzle.com/motors/used-cars/jeep/grand-cherokee/2019/1/27/verified-car-jeep-grand-cherokee-overland--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=246","Jeep","Grand Cherokee","2015","58,000","109000"
"VERIFIED CAR! UNIQUE MSO MCLAREN 675LT - WARR...","https://dubai.dubizzle.com/motors/used-cars/mclaren/675lt/2018/12/30/verified-car-unique-mso-mclaren-675lt-full-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=247","McLaren","675LT","2016","10,000","1200000"
"Cleanest SL in Dubai !","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/sl-class/2019/1/24/cleanest-sl-in-dubai--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=248","Mercedes-Benz","SL-Class","2005","68,000","79900"
"2008 Range rover Supercharged - Immaculate co...","https://dubai.dubizzle.com/motors/used-cars/land-rover/range-rover-sport/2018/12/19/2008-range-rover-supercharged-immaculate-c-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=249","Land Rover","Range Rover Sport","2008","170,000","29000"
"Audi Q5 3.0 Quattro S-Line v6 . immaculate co...","https://dubai.dubizzle.com/motors/used-cars/audi/q5/2019/1/24/audi-q5-30-quattro-s-line-v6-immaculate-co-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=250","Audi","Q5","2013","139,000","50000"
"Vw GTI 2.0T 2009 GCC - full service history","https://dubai.dubizzle.com/motors/used-cars/volkswagen/gti/2019/1/24/vw-gti-20t-2009-gcc-full-service-history-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=251","Volkswagen","GTI","2009","140,000","20000"
"Audi Q7  supercharged 333bhp-  full option - ...","https://dubai.dubizzle.com/motors/used-cars/audi/q7/2018/12/30/audi-q7-full-option-well-maintained-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=252","Audi","Q7","2013","85,000","73000"
"Chevrolet Camaro - GCC with sunroof and rear ...","https://dubai.dubizzle.com/motors/used-cars/chevrolet/camaro/2019/1/22/chevrolet-camaro-gcc-with-sunroof-and-rear-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=253","Chevrolet","Camaro","2015","106,000","55000"
"Black Edition GT - Excellent Condition","https://dubai.dubizzle.com/motors/used-cars/bentley/continental-gt/2019/1/24/black-edition-gt-excellent-condition-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=254","Bentley","Continental GT","2006","80,000","149900"
"Honda Civic 1.8 LXi 2010 model GCC Specs","https://dubai.dubizzle.com/motors/used-cars/honda/civic/2019/1/27/honda-civic-18-lxi-2010-model-gcc-specs-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=255","Honda","Civic","2010","111,000","17500"
"chevrolet Traverse LT - under warranty","https://dubai.dubizzle.com/motors/used-cars/chevrolet/traverse/2019/1/26/chevrolet-traverse-lt-under-warranty-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=256","Chevrolet","Traverse","2016","23,000","65000"
"1969 Camaro","https://dubai.dubizzle.com/motors/used-cars/chevrolet/camaro/2019/1/18/1969-camaro-2-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=257","Chevrolet","Camaro","1969","5,400","140000"
"WRX STI - Perfect condiiton.","https://dubai.dubizzle.com/motors/used-cars/subaru/impreza/2019/1/24/wrx-sti-perfect-condiiton-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=258","Subaru","Impreza","2012","120,000","59900"
"Nissan Patrol V8 platinum  Gcc 3years Local D...","https://dubai.dubizzle.com/motors/used-cars/nissan/patrol/2018/8/15/nissan-patrol-v8-platinum-gcc-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEw&pos=259","Nissan","Patrol","2018","0","245000"
"Audi S8 Full option Gcc Low milage !","https://dubai.dubizzle.com/motors/used-cars/audi/s8/2019/1/27/audi-s8-full-option-gcc-low-milage--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=261","Audi","S8","2008","120,000","28000"
"SLK 200 AMG kit , carbon edition","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/slk-class/2019/1/21/slk-200-amg-kit-carbon-edition-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=262","Mercedes-Benz","SLK-Class","2015","38,500","80000"
"Immaculate condition well maintained","https://dubai.dubizzle.com/motors/used-cars/porsche/carrera/2019/1/24/immaculate-condition-well-maintained-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=263","Porsche","Carrera / 911","2007","77,000","139000"
"Very well maintained 740Li","https://dubai.dubizzle.com/motors/used-cars/bmw/7-series/2019/1/24/very-well-maintained-740li-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=264","BMW","7-Series","2009","120,000","39995"
"Toyota land crusier 4.6 V8 under warranty MY ...","https://dubai.dubizzle.com/motors/used-cars/toyota/land-cruiser/2019/1/27/toyota-land-crusier-46-v8-under-warranty-m-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=265","Toyota","Land Cruiser","2016","45,000","189000"
"STUNNING BMW X6  5.0L TWIN TURBO  // gcc full...","https://dubai.dubizzle.com/motors/used-cars/bmw/x6/2019/1/27/stunning-x6-50l-twinturbo-gcc-full-service-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=266","BMW","X6","2014","128,000","99000"
"Mr","https://dubai.dubizzle.com/motors/used-cars/volkswagen/golfr/2019/1/24/mr-2-4/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=267","Volkswagen","Golf R","2016","44,000","102500"
"Audi TT convertible S-Line","https://dubai.dubizzle.com/motors/used-cars/audi/tt/2019/1/24/audi-tt-convertible-s-line-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=268","Audi","TT","2016","65,000","98000"
"Bmw 320i Turbo 2015 - M Performance body kit","https://dubai.dubizzle.com/motors/used-cars/bmw/3-series/2019/1/18/bmw-320i-turbo-2015-m-performance-body-kit-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=269","BMW","3-Series","2015","37,200","54000"
"nissan sunny 2019  full option with warranty ...","https://dubai.dubizzle.com/motors/used-cars/nissan/sunny/2019/1/27/nissan-sunny-2019-full-option-with-warrant-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=270","Nissan","Sunny","2019","0","37000"
"MINT CONDITION ’13 Dodge Dart Rallye Edition ...","https://dubai.dubizzle.com/motors/used-cars/dodge/dart/2019/1/18/mint-condition-13-dodge-dart-rallye-editio-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=271","Dodge","Dart","2013","70,000","40000"
"[2014] FERRARI F12 BERLINETTA LOW MILEAGE UND...","https://dubai.dubizzle.com/motors/used-cars/ferrari/f12/2018/7/10/-2014-ferrari-f12-berlinetta-low-mileage-i-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=272","Ferrari","F12","2014","30,225","569000"
"VERY LOW MILEAGE, Infinity RED SPORT Q50s, GC...","https://dubai.dubizzle.com/motors/used-cars/infiniti/q50/2019/1/27/very-low-mileage-infinity-q50s-gcc-full-se-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=273","Infiniti","Q50","2017","11,000","105000"
"Kia Rio 2014 GCC MidOption Excellent Conditio...","https://dubai.dubizzle.com/motors/used-cars/kia/rio/2019/1/6/kia-rio-2-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=274","Kia","Rio","2014","73,000","25000"
"Hyundai SantaFe 2014 GCC Midoption in Excelle...","https://dubai.dubizzle.com/motors/used-cars/hyundai/santa-fe/2018/12/21/hyundai-santa-fe-2014-gcc-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=275","Hyundai","Santa Fe","2014","97,000","41000"
"BRAND NEW RENAULT FLUENCE PE 2.0L MANUAL TRAN...","https://dubai.dubizzle.com/motors/used-cars/renault/fluence/2018/8/27/brand-new-renault-fluence-pe-20l-manual-tr-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=276","Renault","Fluence","2015","0","22000"
"Hyundai SantaFe 2013 GCC FullOption in Excell...","https://dubai.dubizzle.com/motors/used-cars/hyundai/santa-fe/2018/12/21/hyundai-santafe-2013-gcc-fulloption-in-exc-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=277","Hyundai","Santa Fe","2013","65,000","41000"
"RENAULT DUSTER SE 4X4 WITH NAVIGATION TOP OF ...","https://dubai.dubizzle.com/motors/used-cars/renault/duster/2018/11/17/renault-duster-se-4x4-with-navigation-top--2-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=278","Renault","Duster","2017","0","45000"
"Brand NEW 2017 TUNDRA with only ***5,698 mile...","https://dubai.dubizzle.com/motors/used-cars/toyota/tundra/2019/1/27/brand-new-2017-tundra-with-only-5-698-mile-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=279","Toyota","Tundra","2017","5,698","128500"
"Under warranty Porsche Cayman 2015 - full ser...","https://dubai.dubizzle.com/motors/used-cars/porsche/cayman/2019/1/20/under-warranty-porsche-cayman-2015-full-se-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=280","Porsche","Cayman","2015","67,500","129000"
"BMW 520i 2015 FULL SERVICE HISTORY IMMACULATE...","https://dubai.dubizzle.com/motors/used-cars/bmw/5-series/2019/1/10/bmw-520i-2015-full-service-history-immacul-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=281","BMW","5-Series","2015","102,000","79000"
"BRAND NEW BMW X5 XDrive 35i 2017 GCC SPECS TH...","https://dubai.dubizzle.com/motors/used-cars/bmw/x5/2018/9/16/bmw-x5-x-drive-35i-2017-gcc-specs-brand-ne-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=282","BMW","X5","2017","100","195000"
"EXTREMELY CLEAN E300 GCC PANORAMIC TOP OPTION","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2019/1/24/extremely-clean-e300-gcc-panoramic-top-opt-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=283","Mercedes-Benz","E-Class","2014","140,000","84000"
"BMW 318i 2016 GCC Specs - Low Mileage - Full ...","https://dubai.dubizzle.com/motors/used-cars/bmw/3-series/2019/1/20/bmw-318i-2016-gcc-specs-low-mileage-full-s-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=284","BMW","3-Series","2016","59,000","69000"
"LAND ROVER LR2 HSE  2008 GCC SPECS","https://dubai.dubizzle.com/motors/used-cars/land-rover/lr2/2019/1/24/land-rover-lr2-2008-gcc-specs-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEx&pos=285","Land Rover","LR2","2008","108,000","20000"
"RANGE ROVER SPORT HSE 2012 GCC SPECS","https://dubai.dubizzle.com/motors/used-cars/land-rover/range-rover-sport/2019/1/22/range-rover-sport-hse-2012-gcc-specs-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=287","Land Rover","Range Rover Sport","2012","112,000","69000"
"Subaru Legacy 3.6","https://dubai.dubizzle.com/motors/used-cars/subaru/legacy/2019/1/27/subaru-legacy-36-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=288","Subaru","Legacy","2015","115,000","49000"
"جي ام سي سييرا 2014خليجي دينالي فل مواصفات أو...","https://dubai.dubizzle.com/motors/used-cars/gmc/sierra/2019/1/27/%D8%AC%D9%8A-%D8%A7%D9%85-%D8%B3%D9%8A-%D8%B3%D9%8A%D9%8A%D8%B1%D8%A7-2014%D8%AE%D9%84%D9%8A%D8%AC%D9%8A-%D8%AF%D9%8A%D9%86%D8%A7%D9%84%D9%8A-%D9%81%D9%84-%D9%85%D9%88%D8%A7%D8%B5%D9%81%D8%A7%D8%AA-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=289","GMC","Sierra","2014","153,000","91000"
"Full Option Audi A6Quattro (Engine 2.8) - Rar...","https://dubai.dubizzle.com/motors/used-cars/audi/a6/2018/12/5/audi-a6-quattro-rare-bronze-colour-acciden-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=290","Audi","A6","2014","121,000","59000"
"DODGE DURANGO 5.7L CREW V8 HEMI.LIMITED EDITI...","https://dubai.dubizzle.com/motors/used-cars/dodge/durango/2018/9/20/dodge-durango-57l-crew-v8-hemilimited-edit-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=291","Dodge","Durango","2012","180,000","39000"
"LAMBORGHINI GALLARDO LP550 SPIDER 2012 GCC FU...","https://dubai.dubizzle.com/motors/used-cars/lamborghini/gallardo/2019/1/27/lamborghini-gallardo-lp550-spider-2012-gcc-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=292","Lamborghini","Gallardo","2012","43,000","275000"
"[2018]BMW 740Li WITH 360 CAMERA AND BLIND SPO...","https://dubai.dubizzle.com/motors/used-cars/bmw/7-series/2018/12/23/-2018-bmw-740li-in-immaculate-condition-wi-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=293","BMW","7-Series","2018","43,497","259000"
"[2015]BMW X6 XDRIVE 35i MKIT WITH DEALER WARR...","https://dubai.dubizzle.com/motors/used-cars/bmw/x6/2019/1/8/-2015-bmw-x6-xdrive-35i-with-dealer-warran-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=294","BMW","X6","2015","29,247","179000"
"[2017] BMW 740Li MKIT IN EXCELLENT CONDITION ...","https://dubai.dubizzle.com/motors/used-cars/bmw/7-series/2019/1/5/-2017-bmw-740li-mkit-in-excellent-conditio-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=295","BMW","7-Series","2017","46,078","229000"
"Indian Lady driven Nissan Altima 2.5 SV, GCC,...","https://dubai.dubizzle.com/motors/used-cars/nissan/altima/2019/1/24/indian-lady-driven-nissan-altima-25-sv-gcc-2-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=296","Nissan","Altima","2015","22,000","49000"
"[2018]BRAND NEW MASERATI LEVANTE Q4 GRANLUSSO...","https://dubai.dubizzle.com/motors/used-cars/maserati/levante/2018/10/25/-2018-brand-new-maserati-levante-q4-gran-l-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=297","Maserati","Levante","2018","69","299000"
"(BRAND NEW 2018)RANGE ROVER VOGUE SE SUPERCHA...","https://dubai.dubizzle.com/motors/used-cars/land-rover/range-rover/2018/11/28/-brand-new-2018-range-rover-vogue-se-sc-un-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=298","Land Rover","Range Rover","2018","70","579000"
"(2017)MERCEDES G63//AMG WITH REAR ENTERTAINME...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/g-class/2019/1/2/-2017-mercedes-g63amg-gulf-falcon-edition--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=299","Mercedes-Benz","G-Class","2017","10,275","409000"
"2018 BMW 740Li","https://dubai.dubizzle.com/motors/used-cars/bmw/7-series/2019/1/24/2018-bmw-740li-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=300","BMW","7-Series","2018","58,000","245000"
"SENTRA 440/- MONTHLY , 0% DOWN PAYMENT, MINT ...","https://dubai.dubizzle.com/motors/used-cars/nissan/sentra/2019/1/24/sentra-460-monthly-0-down-payment-mint-con-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=301","Nissan","Sentra","2015","65,000","27500"
"Honda CR-V 2016 GCC Mid Option for sale","https://dubai.dubizzle.com/motors/used-cars/honda/cr-v/2019/1/15/honda-cr-v-2016-gcc-mid-option-for-sale-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=302","Honda","CR-V","2016","93,600","68500"
"BMW520I Single owner , Very Clean car","https://dubai.dubizzle.com/motors/used-cars/bmw/5-series/2019/1/15/bmw520i-single-owner-very-clean-car-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=303","BMW","5-Series","2013","96,400","49000"
"JEEP GRAND CHEROKEE OVERLAND 5.7L 2012 - EXPA...","https://dubai.dubizzle.com/motors/used-cars/jeep/grand-cherokee/2019/1/24/jeep-grand-cherokee-overland-57l-2012-expa-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDEy&pos=304","Jeep","Grand Cherokee","2012","136,000","49500"
