"title","url","maker","type","year","km","price"
"XT5 premium luxury (Ref. 120527)","https://dubai.dubizzle.com/motors/used-cars/cadillac/xt5/2018/11/6/xt5-premium-luxury-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-5","Cadillac","XT5","2017","19,400","144900"
"Valid warranty,Super excellent condition, C20...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/24/valid-warranty-super-excellent-condition-c-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-4","Mercedes-Benz","C-Class","2015","64,000","105000"
"Super excellent condition Cayenne S,V8, Full ...","https://dubai.dubizzle.com/motors/used-cars/porsche/cayenne/2019/1/22/super-excellent-condition-cayenne-s-v8-ful-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-3","Porsche","Cayenne","2012","103,000","84000"
"Super excellent condition,full options,FSH,GC...","https://dubai.dubizzle.com/motors/used-cars/volkswagen/touareg/2019/1/19/super-excellent-condition-full-options-fsh-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-2","Volkswagen","Touareg","2008","186,000","17500"
"2016 NISSAN SUNNY GCC ORIGINAL PAINT W/BLUETO...","https://dubai.dubizzle.com/motors/used-cars/nissan/sunny/2018/4/7/2014-nissan-sunny-gcc-well-and-perfect-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDA%3D&pos=-1","Nissan","Sunny","2016","127,018","20500"
"PORSCHE PANAMERA 4S - 2010 - GCC - ORIGNAL PA...","https://dubai.dubizzle.com/motors/used-cars/porsche/panamera/2019/1/27/porsche-panamera-4s-2010-gcc-orignal-paint-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDE%3D&pos=1","Porsche","Panamera","2010","160,000","68000"
"2015 Nissan XTerra off-road model - Mint Cond...","https://dubai.dubizzle.com/motors/used-cars/nissan/xterra/2019/1/16/2015-nissan-xterra-mint-condition-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDE%3D&pos=2","Nissan","Xterra","2015","116,000","63000"
"LR4 2016 V6 SC","https://dubai.dubizzle.com/motors/used-cars/land-rover/lr4/2019/1/16/almost-brand-new-lr4-2016-v6-sc-with-warra-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDE%3D&pos=3","Land Rover","LR4","2016","90,000","199000"
"VW Tiguan 2014 Model","https://dubai.dubizzle.com/motors/used-cars/volkswagen/tiguan/2018/6/20/vw-tiguan-2014-model-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDE%3D&pos=4","Volkswagen","Tiguan","2014","143,000","29500"
"Audi Q7 2013 Model S Line For Sale","https://dubai.dubizzle.com/motors/used-cars/audi/q7/2018/8/16/audi-q7-2013-model-s-line-for-sale-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDE%3D&pos=5","Audi","Q7","2013","117,000","69500"
